Name,Red,Green,Blue,Category
French beige,166,123,91,Red
Blast-off bronze,165,113,100,Red
Flirt,162,0,109,Pink
Android green,164,198,57,Green
Cambridge blue,163,193,173,Aquamarine
Baby blue eyes,161,202,241,Azure
Amaranth (M&P),159,43,104,Pink
Cinereous,152,129,123,Red
Drab,150,113,23,Red
Citron,159,169,31,Green
Beaver,159,129,112,Red
Crimson (UA),158,27,50,Pink
Cadet grey,145,163,176,Azure
Burnished brown,161,122,116,Red
Big dip o’ruby,156,37,66,Pink
French lime,158,253,56,Green
Amethyst,153,102,204,Blue
Copper rose,153,102,102,Red
Eton blue,150,200,162,Aquamarine
Carmine,150,0,24,Pink
Bistre brown,150,113,23,Red
Dark orchid,153,50,204,Blue
Dark violet,148,0,211,Blue
Artichoke,143,151,121,Green
Chestnut,149,69,53,Red
Antique fuchsia,145,92,131,Pink
Dark sea green,143,188,143,Green
Baby blue,137,207,240,Azure
Cool grey,140,146,172,Azure
Dark magenta,139,0,139,Magenta
Cordovan,137,63,69,Pink
Dark sky blue,140,190,214,Azure
Apple green,141,182,0,Green
Brown,136,84,11,Red
Asparagus,135,169,107,Green
Brandy,135,65,63,Red
Electric violet,143,0,255,Blue
Blue-violet,138,43,226,Blue
Burnt umber,138,51,36,Red
Dark red,139,0,0,Red
French violet,136,6,206,Blue
French lilac,134,96,142,Blue
Fuzzy Wuzzy,135,66,31,Red
Antique ruby,132,27,45,Pink
Battleship grey,132,132,130,Yellow
Chinese violet,133,96,136,Blue
Chartreuse (web),127,255,0,Green
Aero,124,185,232,Azure
Coyote brown,129,97,60,Red
Byzantium,112,41,99,Pink
Chocolate (traditional),123,63,0,Red
Aquamarine,127,255,212,Aquamarine
French bistre,133,109,77,Red
Burgundy,128,0,32,Pink
Deep taupe,126,94,96,Pink
Falu red,128,24,24,Red
Barn red,124,10,2,Red
Claret,127,23,52,Pink
French sky blue,119,181,254,Azure
Electric blue,125,249,255,Azure
Bole,121,68,59,Red
Coffee,111,78,55,Red
Air superiority blue,114,160,193,Azure
Blue-violet (Crayola),115,102,189,Blue
Bud green,123,182,97,Green
Catawba,112,54,66,Pink
Cornflower blue,100,149,237,Azure
Electric indigo,111,0,255,Blue
Eminence,108,48,130,Blue
Blue-gray,102,153,204,Azure
Field drab,108,84,30,Red
Blood red,102,0,0,Red
Cerulean frost,109,155,195,Azure
Dim gray,105,105,105,Lime
Bright green,102,255,0,Green
Cadet blue,95,158,160,Azure
Dark blue-gray,102,102,153,Blue
Cyber grape,88,66,124,Blue
Caput mortuum,89,39,32,Red
Eggplant,97,64,81,Pink
Dark byzantium,93,57,84,Pink
Antique bronze,102,93,30,Red
Forest green (Crayola),95,167,119,Aquamarine
Dark brown,101,67,33,Red
Avocado,86,130,3,Green
Blue jeans,93,173,236,Azure
Dark electric blue,83,104,120,Azure
Dark liver (horses),84,61,55,Red
Café noir,75,54,33,Red
Emerald,80,200,120,Aquamarine
Carolina blue,86,160,211,Azure
Cadet,83,104,114,Azure
Dark liver,83,75,79,Pink
English violet,86,60,92,Blue
Dark olive green,85,107,47,Green
Black coral,84,98,111,Azure
Blue yonder,80,114,167,Azure
Ebony,85,93,80,Green
Davy's grey,85,85,85,Lime
Army green,75,83,32,Green
Feldgrau,77,93,83,Aquamarine
Fern green,79,121,66,Green
Dark moss green,74,93,35,Green
Dark lava,72,60,50,Red
Blue-violet (color wheel),77,26,127,Blue
Deep Space Sparkle,74,100,108,Azure
Dark slate blue,72,61,139,Blue
Black bean,61,12,2,Red
Bistre,61,43,31,Red
Black olive,59,60,54,Green
Bluetiful,60,105,231,Azure
B'dazzled blue,46,88,148,Azure
Charcoal,54,69,79,Azure
Cerulean blue,42,82,190,Azure
Cosmic cobalt,46,45,136,Blue
Celadon green,47,132,124,Aquamarine
Black coffee,59,47,47,Red
Amazon,59,122,87,Aquamarine
Dark sienna,60,20,20,Red
Blue (pigment),51,51,153,Blue
Dark slate gray,47,79,79,Cyan
Dark cornflower blue,38,66,139,Azure
Bleu de France,49,140,231,Azure
Dark purple,48,25,52,Blue
Celtic blue,36,107,206,Azure
Charleston green,35,43,43,Cyan
Dodger blue,30,144,255,Azure
Blue-green (color wheel),6,78,64,Aquamarine
Denim,21,96,189,Azure
Eerie black,27,27,27,Lime
Denim blue,34,67,182,Azure
Blue (Crayola),31,117,254,Azure
Flickr Blue,0,99,220,Azure
Forest green (web),34,139,34,Green
Black chocolate,27,24,17,Red
English green,27,77,62,Aquamarine
Brunswick green,27,77,62,Aquamarine
Cerulean (Crayola),29,172,214,Azure
Fluorescent blue,21,244,238,Aquamarine
Bright navy blue,25,116,210,Azure
Dark jungle green,26,36,33,Aquamarine
Dark spring green,23,114,69,Aquamarine
Blue (RYB),2,71,254,Azure
Egyptian blue,16,52,166,Azure
Blue sapphire,18,97,128,Azure
Blue-green,13,152,186,Azure
Dark pastel green,3,192,60,Aquamarine
Absolute Zero,0,72,186,Azure
Black,0,0,0,Lime
Cadmium green,0,107,60,Aquamarine
Blue (Munsell),0,147,175,Azure
British racing green,0,66,37,Aquamarine
Blue (NCS),0,135,189,Azure
Blue (Pantone),0,24,168,Azure
Cobalt blue,0,71,171,Azure
Bottle green,0,106,78,Aquamarine
Blue,0,0,255,Blue
Castleton green,0,86,63,Aquamarine
Azure,0,127,255,Azure
Aqua,0,255,255,Cyan
Ao (English),0,128,0,Green
Cerulean,0,123,167,Azure
Capri,0,191,255,Azure
Caribbean green,0,204,153,Aquamarine
CG blue,0,122,165,Azure
Celadon blue,0,123,167,Azure
Cyan (process),0,183,235,Azure
Dark green,1,50,32,Aquamarine
Dark cyan,0,139,139,Cyan
Cyan,0,255,255,Cyan
Gamboge,228,155,15,Red
Dark turquoise,0,206,209,Azure
Dark green (X11),0,100,0,Green
Gainsboro,220,220,220,Lime
Deep jungle green,0,75,73,Aquamarine
French blue,0,114,187,Azure
Duke blue,0,0,156,Blue
Forest green (traditional),1,68,33,Aquamarine
Deep sky blue,0,191,255,Azure
Dartmouth green,0,112,60,Aquamarine
Erin,0,255,64,Aquamarine
Electric green,0,255,0,Green
Glossy grape,171,146,179,Blue
Glaucous,96,130,182,Azure
Ghost white,248,248,255,Blue
Generic viridian,0,127,102,Aquamarine
GO green,0,171,102,Aquamarine
Gold Fusion,133,117,78,Red
Gold,165,124,0,Red
Gold (metallic),212,175,55,Red
Gold (Crayola),230,190,138,Red
Gold (web) (Golden),255,215,0,Red
Green,0,255,0,Green
Golden poppy,252,194,0,Red
Gray (X11 gray),190,190,190,Lime
Green (NCS),0,159,107,Aquamarine
Goldenrod,218,165,32,Red
Gray (web),128,128,128,Lime
Green (Munsell),0,168,119,Aquamarine
Granite gray,103,103,103,Lime
Golden yellow,255,223,0,Red
Golden brown,153,101,21,Red
Green (Crayola),28,172,120,Aquamarine
Green (Pantone),0,173,67,Aquamarine
Green (web),0,128,0,Green
Granny Smith apple,168,228,160,Green
Green (RYB),102,176,50,Green
Green (pigment),0,165,80,Aquamarine
Green-cyan,0,153,102,Aquamarine
Green-blue (Crayola),40,135,200,Azure
Green-blue,17,100,180,Azure
Grullo,169,154,134,Red
Green Sheen,110,174,161,Aquamarine
Green-yellow,173,255,47,Green
Green-yellow (Crayola),240,232,145,Red
Green Lizard,167,244,50,Green
Harlequin,63,255,0,Green
Hansa yellow,233,214,107,Red
Han purple,82,24,250,Blue
Han blue,68,108,207,Azure
Gunmetal,42,52,57,Azure
Heliotrope,223,115,255,Blue
Heliotrope gray,170,152,169,Pink
Harvest gold,218,145,0,Red
Hollywood cerise,244,0,161,Pink
Heat Wave,255,122,0,Red
Hot pink,255,105,180,Pink
Hot magenta,255,29,206,Pink
Honeydew,240,255,240,Green
Honolulu blue,0,109,176,Azure
Hooker's green,73,121,107,Aquamarine
Iceberg,113,166,210,Azure
Illuminating emerald,49,145,119,Aquamarine
Icterine,252,247,94,Red
Imperial red,237,41,57,Pink
Hunter green,53,94,59,Aquamarine
Independence,76,81,109,Azure
Indian yellow,227,168,87,Red
India green,19,136,8,Green
Inchworm,178,236,93,Green
Indian red,205,92,92,Red
Indigo dye,0,65,106,Azure
Indigo,75,0,130,Blue
International orange (aerospace),255,79,0,Red
International orange (engineering),186,22,12,Red
International Klein Blue,0,47,167,Azure
International orange (Golden Gate Bridge),192,54,44,Red
Iris,90,79,207,Blue
Ivory,255,255,240,Yellow
Jade,0,168,107,Aquamarine
Keppel,58,176,158,Aquamarine
Jungle green,41,171,135,Aquamarine
Jasmine,248,222,126,Red
Kelly green,76,187,23,Green
Jet,52,52,52,Lime
Irresistible,179,68,108,Pink
Italian sky blue,178,255,255,Cyan
Isabelline,244,240,236,Red
Jazzberry jam,165,11,94,Pink
June bud,189,218,87,Green
Jonquil,244,202,22,Red
Key lime,232,244,140,Green
Khaki (X11) (Light khaki),240,230,140,Red
Kobe,136,45,23,Red
Khaki (web),195,176,145,Red
Kobi,231,159,196,Pink
Lapis lazuli,38,97,156,Azure
Laurel green,169,186,157,Green
Lavender blush,255,240,245,Pink
KSU purple,81,40,136,Blue
Kobicha,107,68,35,Red
Languid lavender,214,202,221,Blue
Lemon curry,204,160,29,Red
Kombu green,53,66,48,Green
Lava,207,16,32,Pink
Lavender (web),230,230,250,Blue
Laser lemon,255,255,102,Yellow
Lavender (floral),181,126,220,Blue
Lemon,255,247,0,Red
Lavender blue,204,204,255,Blue
Lavender gray,196,195,208,Blue
Lawn green,124,252,0,Green
Lemon chiffon,255,250,205,Red
Lemon yellow,255,244,79,Red
Lemon glacier,253,255,0,Green
Lemon meringue,246,234,190,Red
Light cornflower blue,147,204,234,Azure
Light gray,211,211,211,Lime
Light salmon,255,160,122,Red
Lemon yellow (Crayola),255,255,159,Yellow
Liberty,84,90,167,Azure
Light coral,240,128,128,Red
Light blue,173,216,230,Azure
Light yellow,255,255,224,Yellow
Light French beige,200,173,127,Red
Light goldenrod yellow,250,250,210,Yellow
Light cyan,224,255,255,Cyan
Light green,144,238,144,Green
Light sea green,32,178,170,Aquamarine
Light orange,254,216,177,Red
Light pink,255,182,193,Pink
Light periwinkle,197,203,225,Azure
Light steel blue,176,196,222,Azure
Light sky blue,135,206,250,Azure
Light slate gray,119,136,153,Azure
Lilac,200,162,200,Magenta
Lilac Luster,174,152,170,Pink
Little boy blue,108,160,220,Azure
Linen,250,240,230,Red
Lime (color wheel),191,255,0,Green
Lincoln green,25,89,5,Green
Liver,103,76,71,Red
Liseran purple,222,111,161,Pink
Lion,193,154,107,Red
Lime green,50,205,50,Green
Lime (web) (X11 green),0,255,0,Green
Liver (dogs),184,109,41,Red
Liver chestnut,152,116,86,Red
Liver (organ),108,46,31,Red
Livid,102,153,204,Azure
Macaroni and Cheese,255,189,136,Red
Madder Lake,204,51,54,Pink
Magenta (Pantone),208,65,126,Pink
Magenta (dye),202,31,123,Pink
Magenta,255,0,255,Magenta
Magenta (Crayola),246,83,166,Pink
Magenta (process),255,0,144,Pink
Mahogany,192,64,0,Red
Magenta haze,159,69,118,Pink
Magic mint,170,240,209,Aquamarine
Magnolia,248,244,255,Blue
Malachite,11,218,81,Aquamarine
Maize (Crayola),242,198,73,Red
Majorelle blue,96,80,220,Blue
Manatee,151,154,170,Azure
Maize,251,236,93,Red
Maroon (X11),176,48,96,Pink
Mardi Gras,136,0,133,Pink
Mantis,116,195,101,Green
Mango,253,190,2,Red
Mandarin,243,122,72,Red
Mango Tango,255,130,67,Red
Maroon (Crayola),195,33,72,Pink
Mauve,224,176,255,Blue
Marigold,234,162,33,Red
Maroon (web),128,0,0,Red
Maximum blue purple,172,172,230,Blue
Medium aquamarine,102,221,170,Aquamarine
Maximum red purple,166,58,121,Pink
Maximum blue,71,171,204,Azure
Maximum blue green,48,191,191,Cyan
Medium orchid,186,85,211,Blue
Mauve taupe,145,95,109,Pink
Mauvelous,239,152,170,Pink
Maximum red,217,33,33,Red
Maximum green,94,140,49,Green
Maximum purple,115,51,128,Blue
Maximum green yellow,217,230,80,Green
Maximum yellow,250,250,55,Yellow
Maya blue,115,194,251,Azure
May green,76,145,65,Green
Maximum yellow red,242,186,73,Red
Medium candy apple red,226,6,44,Pink
Medium carmine,175,64,53,Red
Medium blue,0,0,205,Blue
Medium champagne,243,229,171,Red
Medium slate blue,123,104,238,Blue
Medium sea green,60,179,113,Aquamarine
Medium purple,147,112,219,Blue
Medium spring green,0,250,154,Aquamarine
Medium turquoise,72,209,204,Aquamarine
Mellow apricot,248,184,120,Red
Mellow yellow,248,222,126,Red
Melon,254,186,173,Red
Medium violet-red,199,21,133,Pink
Metallic gold,211,175,55,Red
Metallic Seaweed,10,126,140,Azure
Metallic Sunburst,156,124,56,Red
Middle blue,126,212,230,Azure
Middle blue green,141,217,204,Aquamarine
Mexican pink,228,0,124,Pink
Middle blue purple,139,114,190,Blue
Middle green,77,140,87,Aquamarine
Middle grey,139,134,128,Red
Middle purple,217,130,181,Pink
Middle green yellow,172,191,96,Green
Middle yellow,255,235,0,Red
Middle red purple,165,83,83,Red
Middle red,229,142,115,Red
Midnight,112,38,112,Magenta
Middle yellow red,236,177,118,Red
Midnight blue,25,25,112,Blue
Mimi pink,255,218,233,Pink
Mindaro,227,249,136,Green
Mikado yellow,255,196,12,Red
Midnight green (eagle green),0,73,83,Azure
Mint cream,245,255,250,Aquamarine
Mint green,152,255,152,Green
Mint,62,180,137,Aquamarine
Minion yellow,245,224,80,Red
Ming,54,116,125,Azure
Morning blue,141,163,153,Aquamarine
Mode beige,150,113,23,Red
Misty moss,187,180,119,Red
Moss green,138,154,91,Green
Misty rose,255,228,225,Red
Mountain Meadow,48,186,143,Aquamarine
Mountbatten pink,153,122,141,Pink
Mulberry (Crayola),200,80,155,Pink
MSU green,24,69,59,Aquamarine
Mulberry,197,75,140,Pink
Mystic maroon,173,67,121,Pink
Mystic,214,82,130,Pink
Mustard,255,219,88,Red
Nadeshiko pink,246,173,198,Pink
Myrtle green,49,120,115,Aquamarine
Navajo white,255,222,173,Red
Navy blue,0,0,128,Blue
Navy blue (Crayola),25,116,210,Azure
Naples yellow,250,218,94,Red
Neon blue,70,102,255,Azure
Neon green,57,255,20,Green
Non-photo blue,164,221,237,Azure
New York pink,215,131,127,Red
Nyanza,233,255,219,Green
Nickel,114,116,114,Green
Ocean Blue,79,66,181,Blue
Ochre,204,119,34,Red
Ocean green,72,191,145,Aquamarine
Old gold,207,181,59,Red
Old burgundy,67,48,46,Red
Old lace,253,245,230,Red
Old silver,132,132,130,Yellow
Old rose,192,128,129,Pink
Old lavender,121,104,120,Pink
Olive,128,128,0,Yellow
Old mauve,103,49,71,Pink
Olive Drab (#3),107,142,35,Green
Olive green,181,179,92,Red
Olivine,154,185,115,Green
Orange (Crayola),255,117,56,Red
Olive Drab #7,60,52,31,Red
Onyx,53,56,57,Azure
Opal,168,195,188,Aquamarine
Opera mauve,183,132,167,Pink
Orange,255,127,0,Red
Orange-red,255,104,31,Red
Orange peel,255,159,0,Red
Orange (web),255,165,0,Red
Orange-red (Crayola),255,83,73,Red
Orange (Pantone),255,88,0,Red
Orange-yellow,245,189,31,Red
Orchid pink,242,189,205,Pink
Orange-yellow (Crayola),248,213,104,Red
Orange soda,250,91,61,Red
Orchid,218,112,214,Pink
Oxford blue,0,33,71,Azure
Outrageous Orange,255,110,74,Red
Outer space (Crayola),45,56,58,Azure
Orchid (Crayola),226,156,210,Pink
Oxblood,128,0,32,Pink
Pale aqua,188,212,230,Azure
Pacific blue,28,169,201,Azure
Pakistan green,0,102,0,Green
OU Crimson red,132,22,23,Pink
Palatinate purple,104,40,96,Pink
Pale spring bud,236,235,189,Red
Pale pink,250,218,221,Pink
Pale silver,201,192,187,Red
Pale purple (Pantone),250,230,250,Magenta
Pale cerulean,155,196,226,Azure
Paolo Veronese green,0,155,125,Aquamarine
Pansy purple,120,24,74,Pink
Paradise pink,230,62,98,Pink
Paris Green,80,200,120,Aquamarine
Papaya whip,255,239,213,Red
Pastel pink,222,165,164,Red
Peach,255,229,180,Red
Payne's grey,83,104,120,Azure
Patriarch,128,0,128,Magenta
Peach (Crayola),255,203,164,Red
Peach puff,255,218,185,Red
Pear,209,226,49,Green
Pearly purple,183,104,162,Pink
Periwinkle,204,204,255,Blue
Periwinkle (Crayola),195,205,230,Azure
Permanent Geranium Lake,225,44,44,Red
Persian green,0,166,147,Aquamarine
Persian orange,217,144,88,Red
Persian indigo,50,18,122,Blue
Persian blue,28,57,187,Azure
Pine green,1,121,111,Aquamarine
Persian plum,112,28,28,Red
Persian rose,254,40,162,Pink
Persian red,204,51,51,Red
Pewter Blue,139,168,183,Azure
Persian pink,247,127,190,Pink
Phlox,223,0,255,Blue
Persimmon,236,88,0,Red
Phthalo green,18,53,36,Aquamarine
Picotee blue,46,39,135,Blue
Pink,255,192,203,Pink
Phthalo blue,0,15,137,Azure
Pictorial carmine,195,11,78,Pink
Piggy pink,253,221,230,Pink
Pine tree,42,47,35,Green
Pink (Pantone),215,72,148,Pink
Pistachio,147,197,114,Green
Prussian blue,0,49,83,Azure
Pink Sherbet,247,143,167,Pink
Pink flamingo,252,116,253,Blue
Powder blue,176,224,230,Azure
Pink lavender,216,178,209,Pink
Pink lace,255,221,244,Pink
Platinum,229,228,226,Red
Plum,142,69,133,Pink
Polished Pine,93,164,147,Aquamarine
Plump Purple,89,70,178,Blue
Prune,112,28,28,Red
Portland Orange,255,90,54,Red
Plum (web),221,160,221,Magenta
Psychedelic purple,223,0,255,Blue
Princeton orange,245,128,37,Red
Pomp and Power,134,96,142,Blue
Popstar,190,79,98,Pink
Puce,204,136,153,Pink
Pullman Brown (UPS Brown),100,65,23,Red
Pumpkin,255,117,24,Red
Purple pizzazz,254,78,218,Pink
Purple navy,78,81,128,Azure
Purple,106,13,173,Blue
Purple (web),128,0,128,Magenta
Purple (Munsell),159,0,197,Blue
Purple Plum,156,81,182,Blue
Purpureus,154,78,174,Blue
Purple (X11),160,32,240,Blue
Purple mountain majesty,150,120,182,Blue
Queen pink,232,204,215,Pink
Raspberry glace,145,95,109,Pink
Raisin black,36,33,36,Magenta
Quick Silver,166,166,166,Lime
Quinacridone magenta,142,58,89,Pink
Queen blue,67,107,149,Azure
Radical Red,255,53,94,Pink
Raspberry,227,11,93,Pink
Rajah,251,171,96,Red
Razzle dazzle rose,255,51,204,Pink
Raspberry rose,179,68,108,Pink
Rebecca Purple,102,51,153,Blue
Raw Sienna,214,138,89,Red
Red (Crayola),238,32,77,Pink
Raw umber,130,102,68,Red
Razzmatazz,227,37,107,Pink
Red,255,0,0,Red
Red (Munsell),242,0,60,Pink
Razzmic Berry,141,78,133,Pink
Red (pigment),237,28,36,Pink
Red-orange,255,83,73,Red
Red (NCS),196,2,51,Pink
Red (RYB),254,39,18,Red
Red (Pantone),237,41,57,Pink
Red-violet,199,21,133,Pink
Red Salsa,253,58,74,Pink
Red-purple,228,0,120,Pink
Red-orange (Crayola),255,104,31,Red
Red-orange (Color wheel),255,69,0,Red
Red-violet (Crayola),192,68,143,Pink
Redwood,164,90,82,Red
Resolution blue,0,35,135,Azure
Rhythm,119,118,150,Blue
Rich black (FOGRA39),1,2,3,Azure
Rich black,0,64,64,Cyan
Red-violet (Color wheel),146,43,62,Pink
Rich black (FOGRA29),1,11,19,Azure
Rose pink,255,102,204,Pink
Rose bonbon,249,66,158,Pink
Rose,255,0,127,Pink
Rose ebony,103,72,70,Red
Roman silver,131,137,150,Azure
Robin egg blue,0,204,204,Cyan
Rose Dust,158,94,111,Pink
Rifle green,68,76,56,Green
Rocket metallic,138,127,128,Pink
Rose quartz,170,152,169,Pink
Rose madder,227,38,54,Pink
Rose red,194,30,86,Pink
Rose taupe,144,93,93,Red
Russet,128,70,27,Red
Rubine red,209,0,86,Pink
Ruber,206,70,118,Pink
Royal yellow,250,218,94,Red
Russian green,103,146,103,Green
Royal blue (dark),0,35,102,Azure
Rufous,168,28,7,Red
Rosso corsa,212,0,0,Red
Rose vale,171,78,82,Pink
Royal blue (light),65,105,225,Azure
Rosewood,101,0,11,Pink
Rosy brown,188,143,143,Red
Royal purple,120,81,169,Blue
Ruby,224,17,95,Pink
Ruby red,155,17,30,Pink
Rusty red,218,44,67,Pink
Sacramento State green,4,57,39,Aquamarine
Russian violet,50,23,77,Blue
Rust,183,65,14,Red
Saddle brown,139,69,19,Red
Saffron,244,196,48,Red
Sage,188,184,138,Red
Safety yellow,238,210,2,Red
Safety orange,255,120,0,Red
Safety orange (blaze orange),255,103,0,Red
Sand dune,150,113,23,Red
Sapphire (Crayola),0,103,165,Azure
Salmon pink,255,145,164,Pink
Salmon,250,128,114,Red
Sapphire,15,82,186,Azure
St. Patrick's blue,35,41,122,Azure
Sand,194,178,128,Red
Sap green,80,125,42,Green
Sapphire blue,0,103,165,Azure
Scarlet,255,36,0,Red
Schauss pink,255,145,175,Pink
Sandy brown,244,164,96,Red
Satin sheen gold,203,161,53,Red
School bus yellow,255,216,0,Red
Shocking pink,252,15,192,Pink
Sea green,46,139,87,Aquamarine
Shadow blue,119,139,165,Azure
Seashell,255,245,238,Red
Sea green (Crayola),0,255,205,Aquamarine
Silver (Metallic),170,169,173,Blue
Screamin' Green,102,255,102,Green
Seal brown,89,38,11,Red
Shamrock green,0,158,96,Aquamarine
Shadow,138,121,93,Red
Sepia,112,66,20,Red
Selective yellow,255,186,0,Red
Shiny Shamrock,95,167,120,Aquamarine
Shocking pink (Crayola),255,111,255,Magenta
Shimmering Blush,217,134,149,Pink
Sheen green,143,212,0,Green
Silver,192,192,192,Lime
Sienna,136,45,23,Red
Silver (Crayola),201,192,187,Red
Sinopia,203,65,11,Red
Sizzling Red,255,56,85,Pink
Silver chalice,172,172,172,Lime
Silver sand,191,193,194,Azure
Silver pink,196,174,173,Red
Sky magenta,207,113,175,Pink
Skobeloff,0,116,116,Cyan
Sizzling Sunrise,255,219,0,Red
Sky blue,135,206,235,Azure
Sky blue (Crayola),118,215,234,Azure
Smoky black,16,12,8,Red
Slimy green,41,150,23,Green
Slate gray,112,128,144,Azure
Slate blue,106,90,205,Blue
Smitten,200,65,134,Pink
Spanish bistre,128,117,50,Red
Solid pink,137,56,67,Pink
Sonic silver,117,117,117,Lime
Space cadet,29,41,81,Azure
Snow,255,250,250,Red
Spanish orange,232,97,0,Red
Spanish blue,0,112,184,Azure
Spanish carmine,209,0,71,Pink
Spanish gray,152,152,152,Lime
Spanish green,0,145,80,Aquamarine
Spanish pink,247,191,190,Red
Spanish sky blue,0,255,255,Cyan
Spring green (Crayola),236,235,189,Red
Steel pink,204,51,204,Magenta
Steel Teal,95,138,139,Azure
Straw,228,217,111,Red
Spanish red,230,0,38,Pink
Spring bud,167,252,0,Green
Spring Frost,135,255,42,Green
Spanish viridian,0,127,92,Aquamarine
Spanish violet,76,40,130,Blue
Steel blue,70,130,180,Azure
Star command blue,0,123,184,Azure
